@relation training

@attribute Text string
@attribute class-att {HR,FICO,LOG}

@data
"Copy of Pi.Nr. 560212, 560820 > JEL, JQL (RU) Hello,  please copy to JEL, JQL Pi.Nr.: 560212, 560820  Thank you, Klara Trminkova",HR
"Implementation of SAP notes > JQL (HU) Hello,  please implement the notes also to JQL: Note 2727681 SP01_2019pre 2018.12.12 Tax and SI changes 2019 II  Note 2723146 SP01_2019pre 2018.12.12 RPCBBAH1 - Report on insured persons modification   (it should be the Transports: XEUK073829; XEUK073855, JELK987377)  Thank you, Klara Trminkova ",HR
"EBP user cannot see products in catalogue catalogue items of landefeld  not available  l5cg5457nr7 00049564190231 user laudag affected as well (warburg)",LOG
"Fehlermeldung bei ESS - das Sichern von Urlaubsantrag ist nicht möglich Fehlermeldung bei ESS - das Sichern von Urlaubsantrag ist nicht möglich",HR
"Implementation of SAP notes > JQL (HU) Hello,  please implement notes also to JQL (HU)  Note 2739239 SP02_2019pre 2019.01.11 2018 M30 -  Annual tax report  Note 2737899 SP02_2019pre 2019.01.11 RPCBBAH1 - Report on insured persons   Thank you, Klara Trminkova",HR
"Druck mit der Drucker P971, vorher hat immer funktioniert Druck mit der Drucker P971, vorher hat immer funktioniert",HR
"[Readsoft-BAT-US] - User for Invoices system is missing From: sharon.dean@benteler.com <sharon.dean@benteler.com>  Sent: Montag, 14. Januar 2019 18:02 To: Dominik Fluegel <dominik.fluegel@benteler.com> Subject: Jonas Wessel Verify Access Issue  Hello Dominik,  Jonas Wessel has access to Citrix for Readsoft but when he attempts to open Verify he is being asked for a password.  Can you fix this for him.  this is what I get when I click on Verify and I hit close - no password required  Best regards,  Sharon Dean  Accounts Payable Lead Accounting  Division Steel/Tube Operating Unit Seamless 1 Benteler Drive I Shreveport I Louisiana 71115 I USA Tel.: +1 318 216 4155  sharon.dean@benteler.com I www.benteler.com ___________________________________________________________________ BENTELER Steel/Tube Manufacturing Corporation Registered office: CT Corporation System | 5615 Corporate Blvd., STE. 400B | Baton Rouge, Louisiana, 70808 | USA ",FICO
"[Readsoft-BDI-DK] -  Invocies User for JENSBIR [?15.?01.?2019 08:49]  Frida Arvidsson:   Hi Dominik, Yesterday our IT support Lars Grimsholm added a ticket for Birte Jensen authority to 1101.invoices@benteler.com, this is high priority.   [?15.?01.?2019 08:51]  Frida Arvidsson:   She replaced Mette Refslund by year end, she need also authority to all Readsoft software; Verify, Optimize etc. Can you please manage this as soon as posible. Her User ID is JENSBIR. Thanks alot beforehand.   ",FICO
"ESS - data for approvals missing even though user is a deputy of Mr. Linnig User is substitute (deputy) of her manager Mr. Wolfram Linnig (who made her his deputy today).  But even though user has the role of  substitute of manager  in SAP JPL and there is a tab  Vertreter  (deputy), there is a lot of info missing (user should be able to see all the vacation requests and evaluations of the team of Mr. Linnig (13 persons) ",HR
"HiI need apply the note 2736290 in JPLThanks Hi I need apply the note 2736290 in JPL Thanks",HR
"Please help to check why same output type has different format?Please find 2 labels from plant 0715 and 0706 Please help to check why same output type has different format? Please find 2 labels from plant 0715 and 0706",LOG
"Hr.Maryska springt im EBP als Genehmiger ein Hr.Maryska springt im EBP als Genehmiger ein (seit 1-1,5 Monaten), obwohl die Genehmigungen direkt an seinen Vorgesetzten (Herrn Locker) gehen sollten. Vorher hat es richtig funktioniert, aber jetzt gehen die Bestellungen z.B. von Patrik Rejna, Tomas Kutina, Jiri Kessler an Herrn Maryska. Sehen Sie sich bitte Screenshot mit Liste von Genehmigungen, die vom System falsch adressiert wurden.",LOG
"The offsetting account text makes no sense. It has nothing to do with loans - it is a transaction performed by logistics as a part of scrapping process. The offsetting account text makes no sense. It has nothing to do with loans - it is a transaction performed by logistics as a part of scrapping process.",FICO
"Hi I need copy from JPL to JEL these employees770131770027770168770177770037481002248100404810067Thanks Hi  I need copy from JPL to JEL these employees 770131 770027 770168 770177 770037 4810022 4810040 4810067 Thanks",HR
"Im  SAP JPL wurden die Stempelzeiten vom 14.01.2019  der Frühschicht nicht übertragen. Bitte dringend weil die Zuordungen nicht richtig sind. Im  SAP JPL wurden die Stempelzeiten vom 14.01.2019  der Frühschicht nicht übertragen. Bitte dringend weil die Zuordungen nicht richtig sind.",HR
"please could customer account 5008124 for 1032 on SAP PEU be set up so invoices are printed off when generated by the system ( as 5002235 is) please could customer account 5008124 for 1032 on SAP PEU be set up so invoices are printed off when generated by the system ( as 5002235 is)",LOG
"account 5008124 automatically prints of finvoices when despatched. There is usually the manifest number on the invoice but it is no longer there. the customer w account 5008124 automatically prints of finvoices when despatched. There is usually the manifest number on the invoice but it is no longer there. the customer will not pay without this information",LOG
"for UDO: Notes Implementation D5 From: Udo Walsch <Udo.Walsch@benteler.com> To: Karen Matthysen <karen.matthysen@benteler.com>, Japie van-de-Venter <japie.van-de-venter@benteler.com>, Heinrich Coetzer <Heinrich.Coetzer@benteler.com>,  Esther,  <Naude@adaptit.co.za> Date: 2019/01/15 09:55 AM Subject: RE: Patches to be loaded ________________________________________    Hi Karen, hi Esther   we will implemented Feb 17th SAP support package SAPK-604D5. Can you please list all notes that are still NOT included in this support package. My proposal is to implement these notes manually after Feb 17th and before the 1st February payroll. Is that ok?   Karen: if yes, can you please ask Marcelo to create an incident to implement the remaining notes.   Thanks   Udo",HR
"MUEP - Nachschub- Monitor Kleinenberg  -  Fehlende Einträge / Zeilen Nachschub- Monitor Werk Kleinenberg  -  Fehlende Einträge / Zeilen Der Monitor zeigt je Material u.a. den SAP- Bestand. Ist kein SAP- Bestand vorhanden, sollte diese Zeile mit ROT  unterlegt werden.  Problem:  Aktuell werden diese Zeilen gar nicht mehr angezeigt. ",LOG
"Este incidente foi considerado fechado em 30/10/18 em função de que uma explicação de como reverter a Post Goods Receipt da ASN foi fornecida. No entanto, após  Este incidente foi considerado fechado em 30/10/18 em função de que uma explicação de como reverter a Post Goods Receipt da ASN foi fornecida. No entanto, após tentar reverter a ASN, não é possível, uma vez que uma entrada de 406 peças referente a NF 62120-2 já foi realizada. Texto referente ao incidente: INC0013386: Há tempos a ShpgNt 75829001 é mostrava na tela de programação logística MD04 como um embarque ainda a ser entregue referente ao Part Number 90027377. No entanto, após verificado com o fornecedor a NF referente à este ShpgNt, 632120-2, foi cancelada, desta forma, este ShpgNt pode ser deletado. No entanto, em tentar deletar o ShpgNt, o mesmo aparece travado para edição. Ao clicar no ícone de lata de lixo e confirmar, a mensagem:  Item cannot be deleted (GM status)  é mostrada. É necessária a deleção desta ShpgNt para que o item possa ser programado normalmente novamente, evitando sua programação inserindo parcelas nos estoques de segurança, ação fora de fluxo normal de programação.",LOG
"Transport: JELK987471 Please can you transport the below from JEL to JQL : JELK987471",HR
"Neue Rolle für Slowakei anlegen ZEA00SKITXX_IT_AT_SLOWAKEI Hallo Willi,   könntest du bitte folgende Rolle ZEA00CZITXX_IT_AT_TSCHECHIEN auf  eine neue für Slowakei kopieren:    ZEA00SKITXX_IT_AT_SLOWAKEI und dann die Parameters laut der Datei in Anhang nur für Slowakei anpassen?   Vielen Dank  Tomas ",HR
"Error messge with FB50 transaction in SAP PEU can't use the transaction : FB50 . see attached Files",FICO
"Transport of JELK987081  > JPL (HU), JELK987461 > JQL (HU) Hello,  please transport from JQL to JPL request: JELK987081 620   ITELLBK      04.01.2019 336. HRHU - PT - Bonus rounding BDI /2  and from JEL to JQL request: JELK987461 620   ITELLBK      2019.01.15 338. HRHU - PY - Notes 2727681, 2739239  Thank you, Klara Trminkova",HR
"Copy of Pi.Nr. 560512, 560808 > JEL, JQL (RU) Hello,  please copy the Pi.Nr. to JEL,JQL: 560512, 560808  Thank you, Klara Trminkova",HR
"Boa tarde! Conforme anexo, não consta no meu usuários os aprovadores para criação de requisição de compras pelo EBP. Como devo proceder? Já abri chamados e ligu Boa tarde! Conforme anexo, não consta no meu usuários os aprovadores para criação de requisição de compras pelo EBP. Como devo proceder? Já abri chamados e liguei no Help Desk, mas este problema ainda não foi solucionado. Anexo o erro.",LOG
"Transport: JELK987496 Please can you urgently do a transport from JEL to JQL for Transport: JELK987496 HR need to run wages tomorrow morning, so if you can do it today it will be appreciated. Thank you.",HR
"Transport: JELK987518 Please can you transport from JEL to JQL Transport: JELK987518",HR
"HiI need to Transport order JELK987403 to JQLThanks Hi I need to Transport order JELK987403 to JQL Thanks",HR
"When the purchase order is released with a balance sheet account and a capital WBS element combination, then no commitment is made to the project budget.  This  When the purchase order is released with a balance sheet account and a capital WBS element combination, then no commitment is made to the project budget.  This allows the capital project to be over spent to budget, defeating the system controls",FICO
"Dear CIT HR,please kindly transfer below ticket from JQL to JPL. Thank you.Customizing JELK986942 Social Insurance Adjustment Customizing   JELK987297 Social Dear CIT HR, please kindly transfer below ticket from JQL to JPL. Thank you. Customizing JELK986942 Social Insurance Adjustment  Customizing   JELK987297 Social Insurance Adjustment",HR
"Inbound delivery is complete, after good receipt should be disappear from MD04, but now open in MD04. This inbound delivery also cannot delete in VL32N. Inbound delivery is complete, after good receipt should be disappear from MD04, but now open in MD04. This inbound delivery also cannot delete in VL32N.",LOG
"Transport of JELK987461 > JPL (HU); copy of Pi.Nr. 706767, 310931 Hello,  please transport from JQL to JPL request: JELK987461 620   ITELLBK      2019.01.15 338. HRHU - PY - Notes 2727681, 2739239  please copy Pi.Nr. > JEL, JQL: 706767, 310931  Thank you, Klara Trminkova",HR
"Approved business trip appears in ESS in wrong Status ( sent ) details as attachment",HR
"Transport of requests > JPL (SAP notes - HU) Hello,  please transport from JQL to JPL transports regarding the SAP notes (HU): JELK987377 XEUK073829 XEUK073855 XEUK074496  (only for info - it should be these SAP notes....) Note 2727681 SP01_2019pre 2018.12.12 Tax and SI changes 2019 II  Note 2723146 SP01_2019pre 2018.12.12 RPCBBAH1 - Report on insured persons modification  Note 2739239 SP02_2019pre 2019.01.11 2018 M30 -  Annual tax report  Note 2737899 SP02_2019pre 2019.01.11 RPCBBAH1 - Report on insured persons   Thank you, Klara Trminkova  ",HR
"Extension of authorization with a new Personnel area 0204 BLA Hello, could you please extend authorization roles with a new personnel area - more information in the attachment.  Thank you. Best regards, Iva Grohová",HR
"Es gibt aktuell mehrere offene Forecast Versionen. Darum kann aktuell der FC nicht geplant werden. Es gibt aktuell mehrere offene Forecast Versionen. Darum kann aktuell der FC nicht geplant werden.",LOG
"update cost center 3542513 -> JPL (CZ) Hello, Could you please try to update CC 3542513 in JPL? It's blocked against posting in JPL, but Mr. Lahme from conrolling informed us, that it's not blocked in PEU.  Thank you, Martina Albrechtova",HR
"Transport: JELK987496 Please transport JELK987496 to JPL please.",HR
"Transport: JELK987518 Please transport: JELK987518 to JPL. Thank you",HR
"Urlaub kann im ESS nicht beantragt werde. Urlaub kann im ESS nicht beantragt werde.",HR
"[Readsoft-BAT] - WG: Nicht zustellbar: WebCycle Dok. 1360797 überfällig Hallo Dominik,  im untenstehenden Dokument gibt es den WC-Empfänger nicht mehr. Frage - da es eine Rechnung mit PO-Bezug ist, leitet das System den Stellvertreter im WC ab oder ist das eine manuelle Eingabe vom Original-WC-Empfänger? Best regards  Helena Härtel Business Process Specialist Finance Processes & Standards  Division Automotive An der Talle 27-31 | 33102 Paderborn | Germany Tel.: +49 5254 81 307542  helena.haertel@benteler.com | www.benteler.com   ______________________ BENTELER Automobiltechnik GmbH Geschäftsführung:Ralf Göttel (Vorsitzender) | Oliver Lang | Dr. Jürgen Stahl Aufsichtsratsvorsitzender: Guido Huppertz Sitz Paderborn | Handelsregister: Amtsgericht Paderborn (HRB 4153) Umsatzsteueridentifikationsnr: DE812754945 ----- Weitergeleitet von Helena Haertel/EMEA/BENTELER am 15.01.2019 16:29 -----  Von: Sven Weeke <sven.weeke@benteler.com> An: <Helena.Haertel@benteler.com> Datum: 15.01.2019 08:57 Betreff: Nicht zustellbar: WebCycle Dok. 1360797 überfällig ________________________________________    Für folgendes Dokument wurde ein Status empfangen:     WebCycle Dok. 1360797 überfällig  Gesendet  am:     14.01.2019 23:16:00  Gesendet von:     Sven Weeke  Status für Empfänger jana.trompeter@benteler.com:     Keine Auslieferung, da Absender- oder Empfängeradresse ungültig",FICO
"HiI need to Transport order JELK987403 to JPLThanks Hi I need to Transport order JELK987403 to JPL Thanks",HR
"HiI need to Transport order JELK987375 to JQL.Thanks Hi I need to Transport order JELK987375 to JQL. Thanks",HR
"[Scan2Sap] - WG: Scan2SAP / Datenbankfehler From: udo.bienbeck@benteler.com <udo.bienbeck@benteler.com>  Sent: Dienstag, 15. Januar 2019 10:09 To: Dominik Fluegel <dominik.fluegel@benteler.com> Cc: Karl-Heinz Tepker <karl-heinz.tepker@benteler.com> Subject: WG: Scan2SAP / Datenbankfehler  Hallo Dominik,  was kann ich dem Kollegen sagen ?  Ich bekommen diesen Fehler übrigens auch.  Gruß  Udo ----- Weitergeleitet von Udo Bienbeck/EMEA/BENTELER am 15.01.2019 10:06 -----  Von: Tolga Mierke/EMEA/BENTELER An: Udo Bienbeck/EMEA/BENTELER@BentelerAG Datum: 15.01.2019 09:51 Betreff: Scan2SAP / Datenbankfehler ________________________________________   Hallo Udo,  wir stoßen hier gerade auf einen Fehler in unserer Datenbank zu Scan2SAP. Die vorhandene Anlage zum Auftrag 2471536 läßt sich nicht öffnen und es wird der unten genannte Fehler ausgeworfen. Kennst Du diuesen Fehler und viel wichtiger .... kommen wir trotzdem irgendwie an die Daten? Der Urspung ist bereits vernichted und somit nicht mehr  greifbar .  Terminauftrag 2471536      Mit freundlichen Grüßen / Kind regards  Tolga Mierke  Vertriebsadministrator / Sales Administration  Division Distribution BENTELER Distribution Deutschland GmbH & Co. KG Chemnitzer Straße 8 | 14612 Falkensee | Germany Tel.: +49.3322.277-160 | Fax: +49.3322.277-270 tolga.mierke@benteler.com | www.benteler.com    ______________________________________________ BENTELER Distribution Deutschland GmbH & Co. KG Sitz Duisburg | Handelsregister: Amtsgericht Duisburg (HRA 7659) persönlich haftende Gesellschafterin (Komplementärin) der Gesellschaft ist die BENTELER Distribution Deutschland Beteiligungs GmbH mit Sitz in Duisburg | Handelsregister: Amtsgericht Duisburg (HRB 11855) Geschäftsführung: Andreas Schmidt, Thorsten Müller Umsatzsteueridentifikationsnr.: DE 813631349 / ATU 64111909 ",FICO
"In the PEU transaction ZMM_PETC creates Pick Up - Sheets. If an error occurs SAP should inform MRP - Planner of the material and the user defined in ZMM_PETC_CT In the PEU transaction ZMM_PETC creates Pick Up - Sheets. If an error occurs SAP should inform MRP - Planner of the material and the user defined in ZMM_PETC_CT01. But MRP - Planner nor defined user in special transaction was informed by Email. In this case it was PUS for plant Cologne 0024 and Daniela Bröttner and Markus Guthoff should be informed.",LOG
"Transport of JELK987533 > JQL (RU) Hello,  please transport from JEL to JQL request: JELK987533       IBSVS        HR:179723 Average report Koef - 1   Thank you, Klara Trminkova",HR
"Bitte diesen Auftrag JELK987385  aus JEL ins JQL transportieren (Polen) Hallo Willi,   könntest du bitte diesen Auftrag JELK987385 620   ALBRECT      AT, HR, ALBRECT 14.01.2019 - Einstellungen für Polen IV. aus JEL ins JQL transportieren?  Im Auftrag sind Änderungen für Molga 46 - Polen, nötig für das Werk 0301 Wrzesnia.   Vielen Dank  Tomas",HR
"HiI need to Transport order JELK987375 to JPL.Thanks Hi I need to Transport order JELK987375 to JPL. Thanks",HR
"System: PEURechnung 59218358 kann nicht gedruckt werdenAbteilungsdrucker: B102 (Elsener Straße) oder PDF (LOCL2) System: PEU Rechnung 59218358 kann nicht gedruckt werden Abteilungsdrucker: B102 (Elsener Straße) oder PDF (LOCL2)",LOG
"Auftrag JELK987385 > JPL kopieren (Polen) Hallo Willi,   könntest du bitte diesen Auftrag JELK987385 620   ALBRECT      AT, HR, ALBRECT 14.01.2019 - Einstellungen für Polen IV. aus JQL ins JPL transportieren?  Im Auftrag sind Änderungen für Molga 46 - Polen, nötig für das Werk 0301 Wrzesnia.   Vielen Dank  Tomas",HR
"Rechnungen können nicht gefunden werden - COCKPIT/1 PEU Benutzering sagt, das einige Rechnungen automatisch als bearbeitet abgelegt wurden und sie kann sie im PEU nicht mehr finden, sehen sie Anhang. Danke! wczc616b6bl",FICO
"Transport of JELK987546 > JQL (HU) Hello,  please transport from JEL to  JQL request: JELK987546 620   ITELLBK      2019.01.16 339. HRHU - PY - Cafeteria WT  Thank you, Klara Trminkova",HR
"Das Werk 0023 hat in dem DQI MD04 Elements eine Banf aus 2012.Bitte diese BANF aus dem System löschen. Das Werk 0023 hat in dem DQI MD04 Elements eine Banf aus 2012. Bitte diese BANF aus dem System löschen.",LOG
"Transport of JELK987546 > JPL (HU) Hello,  please transport from JQL to JPL request: JELK987546 620   ITELLBK      2019.01.16 339. HRHU - PY - Cafeteria WT  Thank you, Klara Trminkova",HR
"Automatischer Fakturaversand per eMail Keine Papierrechnungen für den Kunden CIE Mecauto (Partnerrolle Rechnungsempfänger und Regulierer: Debitorenstamm 119188). Rechnungen sollen nur noch als PDF erstellt werden und an die hinterlegte Email-Adresse gesendet werden. Verkaufsorganisationen: 2000",LOG
"E-Invoicing Italy: Kondition LCIT statt MWST Please see attachment",LOG
"User have role in JPL but cannot see some application ( options ) User have role in JPL but cannot see some application ( options ) on ESS portal  Please see attchment    ",HR
"Problem with ESS portal  The are missing some optins in ESS portal  Can you please reset the user. See attachment    Thank you   Best regards",HR
"EBP - user cannot edit an order User cannot display the approvers of any order in EBP. After clicking on the button  Bearbeiter anzeigen /Bearbeiten  (see the screenshot attached), a loading circle comes up and nothing happens.  (User wants to add his manager as an approver of this order and check who the other approvers are.)  IP address of the computer: 172.25.119.214 ",LOG
"JQL Transport Needed (T510 2019 Changes) Can you please move the transport below to JQL?  Thank you.  JELK987597 - US T510 Table Changes for 2019",HR
"Fiscal year changed to 2019 caused all the cum delivery qty calculated since 2019, which not match with customer cum received qtyPls cancel the fiscal year cha Fiscal year changed to 2019 caused all the cum delivery qty calculated since 2019, which not match with customer cum received qty Pls cancel the fiscal year change for plant 0718 and all the cum qty is calculated from the 1st delivery Effect plant: PAP-0718 Emergency: high priority, which impact the MRP result",LOG
"When Employee apply annual leave, or sick leave, ESS sysmtem will have a error message, and it is like  Conflict with Attandance/Business trip from 09.12.2018 t When Employee apply annual leave, or sick leave, ESS sysmtem will have a error message, and it is like  Conflict with Attandance/Business trip from 09.12.2018 to 14.12.2018 . Now if I delete their Business trip from 09.12.2018 to 14.12.2018, then the system will be ok, but it dosen't make sence. these have been several cases.",HR
"Copy of Pi.Nr. 560157, 560087, 560577 > JEL, JQL (RU) Hello,  please copy Pi.Nr. 560157, 560087, 560577 > JEL, JQL (RU)  Thank you, Klara Trminkova",HR
"Transport employee 321740  from JPL to JEL Transport employee 321740  from JPL to JEL",HR
"Fehlerhafte Übertragung beim Nachvorschungsersuchen Fehlerhafte Übertragung beim Nachvorschungsersuchen: Frau Anke Eckel kompletierte die Daten beim Beleg 16339 (siehe Screenshot), der aber beim Zoll nicht angekommen ist. Bitte überprüfen Sie, ob es da Fehler am Server gab. Vielen Dank im Voraus!",FICO
"Dear CIT HR,please kindly transfer below ticket from JQL to JPL. Thank you.JELK987250       ITELLSJ      2019 Tax Reform DevelopmentJELK987248 620   ITELLSJ Dear CIT HR, please kindly transfer below ticket from JQL to JPL. Thank you.  JELK987250       ITELLSJ      2019 Tax Reform Development JELK987248 620   ITELLSJ      2019 Tax Reform Configuration",HR
"Transaktion F-28 zur Buchung des Zahlungseingangs innerhalb des SAX Litreca Tools war in der Vergangenheit automatisch auf Kontoart D (Debitor) eingestellt. Sei Transaktion F-28 zur Buchung des Zahlungseingangs innerhalb des SAX Litreca Tools war in der Vergangenheit automatisch auf Kontoart D (Debitor) eingestellt. Seit dieser Woche muss für jede einzelne Buchung die Kontoart geändert werden, da die Voreinstellung nun auf Kreditor eingestellt ist.",FICO
"SAP RM option in Lotus Notes is not working l5cg8434npg User has a new laptop and the SAP RMTool is not working for user configuration ok - pls see screenshots SAP system is HZP 100 - Einkauf  ",HR
"reklamierte Coils aus 2018 wurden vom Lieferanten abgeholt. Die Rücklieferung geht nicht zu buchen. Siehe anh. Fehlermeldung. reklamierte Coils aus 2018 wurden vom Lieferanten abgeholt. Die Rücklieferung geht nicht zu buchen. Siehe anh. Fehlermeldung.",LOG
"Für den Lieferschein 10320060 kann kein Warenausgang gebucht werden, da laut System kein Bestand zur Verfügung steht. Die eingeteilten Mengen müssten aber ausre Für den Lieferschein 10320060 kann kein Warenausgang gebucht werden, da laut System kein Bestand zur Verfügung steht. Die eingeteilten Mengen müssten aber ausreichend. Der Beleg wird dringend für das Testen im Bereich GTS - Präferenzkalkulation (HZD) benötigt.",LOG
"[Readsoft-BST] - E-Mail wird durch Collectro nicht verarbeitet Eine Rechnung liegt im Ordner Unnown und keiner Weiß warum.",FICO
"User SAP Pautsch für GTS im HZP Mandant 200 freischalten und Rolle Sales geben  an Herr A. Walter User SAP Pautsch für GTS im HZP Mandant 200 freischalten und Rolle Sales geben  an Herr A. Walter",FICO
"HiI need to Transport order JELK987581 to JQLThanks Hi I need to Transport order JELK987581 to JQL Thanks",HR
"Ich kann meine Mobile Phone Bill nicht einsehen. Siehe Anhang. Ich kann meine Mobile Phone Bill nicht einsehen. Siehe Anhang.",FICO
"SAP RM export  l5cg82944kf  ablegen in Akte  option in SAP RM gives error message export to HZP100/212, SP9 245 and PEU 100 00049525481309633 ",HR
"Urlaubsmeldung nicht im System vorhanden trotz Emailmeldung. S. Attachement. Urlaubsmeldung nicht im System vorhanden trotz Emailmeldung. S. Attachement.",HR
"HiI need to Transport order JELK987581 to JPLThanks Hi I need to Transport order JELK987581 to JPL Thanks",HR
"Import to JEL:SAP note  for Travel Expense Norway (delivered in EAHRGXX, 607 – SP 86): 2715531 – NO: Last travel day with additional flat rate Import Note to JEL :SAP note  for Travel Expense Norway (delivered in EAHRGXX, 607 – SP 86): 2715531 – NO: Last travel day with additional flat rate",HR
"HiI need to transport these employees from JPL to JEL770003770019770172Thanks Hi I need to transport these employees from JPL to JEL 770003 770019 770172 Thanks",HR
"Error message when booking a new vacation PC name: wczc8057x8j User gets an error message when he tries to book a vacation in ESS. See attached picture. Please support. Thank you.",HR
"Check preference calculation for 12 parts, because of process break off Check preference calculation for 12 parts, because of process break off",FICO
"Ausfuhranmeldungen laufen nicht durch. Siehe Beleg 965 / Eingereicht um 13:50 Uhr Ausfuhranmeldungen laufen nicht durch. Siehe Beleg 965 / Eingereicht um 13:50 Uhr",FICO
"5 Notes must be imported to JQL : See detailed description below 2739374  HRNO: LC Digitalization of Income form 9 (February 2019)   2738504  HRNO: Reimbursement - start of parental leave calculation   2738963  HRNO: LC Digitalization of Income form 8 (February 2019)   2736668  HRNO: LC Digitalization of Income form 6 (January 2019)   2737613  HRNO: LC Digitalization of Income form 7 (January 2019)   ",HR
"Copy of Pi.Nr. 560800, 560833, 560834, 560850, 560849, 560785, 560858 > JQL (RU) Hello,  please copy of Pi.Nr. 560800, 560833, 560834, 560850, 560849, 560785, 560858 > JQL (RU)  Thank you, Klara Trminkova",HR
"SAP PEUOur local auditors KPMG are asking if GL Journals that are processed have numbering that is sequential.In SAP PEU, in order to confirm GL Number Ranges SAP PEU Our local auditors KPMG are asking if GL Journals that are processed have numbering that is sequential. In SAP PEU, in order to confirm GL Number Ranges, please could you provide me with a screen shot of the GL Number range settings in configuration, so I can forward this information to KPMG. Thank you",FICO
"Hallo Erwin, wir hatten ja Anfang des Jahres das Thema mit der automatischen Übermittlung der gearbeiteten Stunden an die Fa. Start, Avitea,,, Ab dem 01.01. Hallo Erwin,   wir hatten ja Anfang des Jahres das Thema mit der automatischen Übermittlung der gearbeiteten Stunden an die Fa. Start, Avitea,,,   Ab dem 01.01.19 wird die Benteler Laser Application ans SAP angebunden. Die arbeiten zusätzlich mit der Leiharbeitsfirma Franke zusammen.   In diesem Fall soll die Datenübermittlung an die Fa. Franke ebenfalls automatisch erfolgen.   Was ist da zu tun? Welche Infos benötigst du alles?  Danke für die Unterstützung!   Wünsche dir schon mal schöne Feiertage und guten Rutsch!   Viele Grüße Dragana",HR
"Bitte die Rolle ZES00XXPAXX_HR_ZBA.W52 ändern:Die Rolle ist so wie sie ist zu umfassend: Es sind einige Anpassungen notwendig.1. Den Berechtigungslevel bitte  Bitte die Rolle ZES00XXPAXX_HR_ZBA.W52 ändern: Die Rolle ist so wie sie ist zu umfassend: Es sind einige Anpassungen notwendig. 1. Den Berechtigungslevel bitte auf M und R setzen 2. Das Orgxx-Berechtigungsobjekt mit den Zeit-SB-Schlüsseln 043 und 047 bitte löschen.  Vielen Dank.",HR
"JPL Transport Needed (T510 2019 Changes) Can you please move the transport below to JPL?  Thank you.  JELK987597 - US T510 Table Changes for 2019",HR
"PLease assign a 'sales group number' to:  Bill Poynter (needed for sales orders and scheduling agreement for ALL Sales Oficies in SAP PAM PLease assign a 'sales group number' to:  Bill Poynter (needed for sales orders and scheduling agreement for ALL Sales Oficies in SAP PAM",LOG
" JELK987599 620   ITELLSJ      2019 Tax Reform Round 2   move to JQL.  JELK987599 620   ITELLSJ      2019 Tax Reform Round 2   move to JQL.",HR
"approver cannot see the request ticket which i created in  EBP system a few days ago, i created the EBP ticket to buy something m but approver Liz Li didn't see my request ticket which i created in  EBP system.So could you help to fix this issue for us ASAP. Thanks1",LOG
"Transport  to JQL: JELK987490 ,   JELK987665 Transport to JQL: JELK987490 ,  JELK987665 - Improvements to NAO Reporting - [MX Legal change -  New value for the unit of measure for INFONAVIT credits (UMI) 01/01/2019",HR
"Phone numbers not updated in Organigramm Tool Hello Team,  Phone numbers for some users in BENTELER Chennai are not updated in Organigramm Tool in Intranet. Please update numbers for users mentioned below.  Dinesh Ganesan - +91 44 6696-5025 Vasantha Kumar Mani - +91 44 6696-5025 Prasanth Valasi Sudhakar - +91 44 6696-5024 Mohammed Nizar Abubakkar - +91 44 6696-5041 Rajakrishna Adigarla - +91 44 6696-5042 Madhan Harikrishnan -  +91 44 6696-5061",HR
"Transport of JELK987642 > JQL (HU) Hello,  please transport from JEL to JQL request: JELK987642 620   ITELLBK      2019.01.17 340. HRHU - PY - Yearly TAX forms   Thank you, Klara Trminkova",HR
"Implementation of SAP notes (HU) Hello,  please implement the SAP notes for HU > JEL, JQL: Note 2740820 SP02_2019pre 2019.01.17 M30 2018 Tax report correction Note 2738025 SP02_2019pre 2019.01.17 Changes related to Membership amount handling Note 2742521 SP02_2019pre 2019.01.17 Tax and SI calc. correction  Thank you, Klara Trminkova ",HR
"5 SAP Notes to be implemented in JPL, see details below Following notes has to be implemented in JPL 2739374  HRNO: LC Digitalization of Income form 9 (February 2019)   2738504  HRNO: Reimbursement - start of parental leave calculation   2738963  HRNO: LC Digitalization of Income form 8 (February 2019)   2736668  HRNO: LC Digitalization of Income form 6 (January 2019)   2737613  HRNO: LC Digitalization of Income form 7 (January 2019)   ",HR
" JELK987599 620   ITELLSJ      2019 Tax Reform Round 2   move to JPL.  JELK987599 620   ITELLSJ      2019 Tax Reform Round 2   move to JPL.",HR
"Bitte Leitendenrollen an LANGEB vergeben.Annette Brüseke verlässt BST, Britta übernimmt kommisarisch ihre Aufgaben. Britta braucht alle Leitendenberechtigunge Bitte Leitendenrollen an LANGEB vergeben.  Annette Brüseke verlässt BST, Britta übernimmt kommisarisch ihre Aufgaben. Britta braucht alle Leitendenberechtigungen die Annette auch hat. Das Formular wurde unterschrieben vom CFO Dr. Tobias Braun, siehe Anhang.  Vielen Dank.",HR
"In der Transaktion ZSD_FORECAST_DETAIL werden Werte doppelt angezeit. Siehe anliegendes Beispiel.Lieferplan 31018522 beinhalted den Warenempfänger 5013725, wir In der Transaktion ZSD_FORECAST_DETAIL werden Werte doppelt angezeit. Siehe anliegendes Beispiel. Lieferplan 31018522 beinhalted den Warenempfänger 5013725, wird aber zusätlich dem Empfänger 5002183 zugeordnet.",LOG
